,Concept_ID,en,zh
912,geben::V,give,给
913,reichen::V,hand,递给
914,schenken::V,give,赠送
915,versprechen::V,promise,许诺
916,wünschen::V,wish,祝
917,loben::V,praise,表扬
918,küssen::V,kiss,亲
919,wiegen::V,rock,轻摇
920,zudecken::V,cover,盖上
921,wecken::V,wake,唤起
922,zeigen::V,show,指
923,führen::V,guide,带领
924,lehren::V,teach,教
925,unterrichten::V,instruct,讲课
926,aufziehen::V,bring up,抚养
927,leiten::V,lead,领导
928,antreiben::V,urge,催促
929,lassen::V,let,让
930,einladen::V,invite,邀请
931,vereinigen::V,unite,统一
932,besuchen::V,visit,参观
933,treffen::V,meet,会面
934,sich versammeln::V,assemble,聚集
935,spielen::V,play,玩
936,singen::V,sing,唱歌
937,tanzen::V,dance,跳舞
938,sich trennen::V,separate,分别
939,verlassen::V,leave,离开
940,retten::V,rescue,救
941,bewachen::V,guard,守卫
942,schützen::V,protect,保护
943,verteidigen::V,defend,保卫
944,sich schlagen::V,brawl,打架
945,schießen::V,shoot,射击
946,siegen::V,win,获胜
947,ärgern::V,annoy,激怒
948,schlagen::V,beat,打
949,treten::V,kick,踢
950,stechen::V,sting,刺
951,stoßen::V,shove,撞
952,stehlen::V,steal,盗窃
953,stören::V,disturb,干扰
954,belästigen::V,bother,打搅
955,verbergen::V,conceal,隐藏
956,täuschen::V,deceive,欺骗
957,betrügen::V,cheat,欺骗
958,töten::V,kill,杀
959,wohnen::V,dwell,居住
960,arbeiten::V,work,工作
961,sammeln::V,gather,收集
962,pflücken::V,pick,采
963,jagen::V,hunt,打猎
964,fischen::V,fish,捕鱼
965,fassen::V,catch,捉住
966,hüten::V,herd,守护
967,treiben::V,drive,漂
968,anbinden::V,tie up,拴
969,füttern::V,feed,喂
970,melken::V,milk,挤奶
971,hacken::V,chop,剁细
972,gießen::V,water,浇
973,reifen::V,ripen,成熟
974,zubereiten::V,cook,
975,kochen::V,boil,煮
976,backen::V,bake,烤
977,braten::V,fry,煎
978,umrühren::V,stir,搅拌
979,stricken::V,knit,织
980,nähen::V,sew,缝
981,färben::V,dye,染色
982,reinigen::V,clean,清洁
983,waschen::V,wash,洗
984,abwischen::V,wipe,擦掉
985,spülen::V,rinse,清洗
986,fegen::V,sweep,扫
987,kehren::V,sweep,打扫
988,baden::V,bath,给...洗澡
989,sich waschen::V,wash,洗澡
990,ausziehen::V,take off,脱
991,anziehen::V,put on,穿
992,sich anziehen::V,get dressed,穿衣
993,kämmen::V,comb,梳
994,schmücken::V,decorate,装饰
995,sagen::V,say,说
996,sprechen::V,speak,说
997,reden::V,talk,讲
998,sich unterhalten::V,chat,聊天
999,fragen::V,ask,问
1000,bitten::V,request,请
1001,erzählen::V,tell,叙述
1002,mitteilen::V,convey,通知
1003,nennen::V,name,叫做
1004,rufen::V,call,叫
1005,prahlen::V,brag,吹牛
1006,übersetzen::V,translate,翻译
1007,denken::V,think,想
1008,glauben::V,believe,以为
1009,bemerken::V,notice,发觉
1010,erkennen::V,recognize,识别
1011,begreifen::V,grasp,理解
1012,verstehen::V,understand,明白
1013,lernen::V,learn,学
1014,wissen::V,know,知道
1015,sich erinnern an::V,remember,回忆
1016,vergessen::V,forget,忘记
1017,messen::V,measure,测量
1018,zählen::V,count,数
1019,rechnen::V,calculate,计算
1020,lesen::V,read,读
1021,malen::V,paint,画
1022,zeichnen::V,draw,绘制
1023,schreiben::V,write,写
1024,besitzen::V,own,占有
1025,kaufen::V,buy,买
1026,verkaufen::V,sell,卖
1027,bezahlen::V,pay for,付钱
1028,zahlen::V,pay,支付
1029,beherrschen::V,rule,统治
1030,ertragen::V,endure,忍耐
,,age,"年龄"
,,age,"岁"
,,age,"年纪"
,,army,"陆军"
,,army,"army"
,,army,"部队"
,,army,"军队"
,,arrival,"抵达"
,,arrival,"到达"
,,arrival,"到来"
,,attention,"attention"
,,attention,"关注"
,,attention,"注意"
,,attention,"注意力"
,,autumn,"秋季"
,,autumn,"秋天"
,,autumn,"秋"
,,autumn,"秋蓉"
,,beach,"海边"
,,beach,"海滩"
,,beach,"沙滩"
,,bee,"蜂"
,,bee,"蜜"
,,bee,"蜜蜂"
,,bee,"bee"
,,bee,"阿b"
,,boat,"船"
,,boat,"小船"
,,boat,"boat"
,,boat,"船上"
,,boat,"小舟"
,,body,"身子"
,,body,"身体"
,,body,"body"
,,body,"尸体"
,,bone,"墨汁"
,,bone,"骨头"
,,bone,"骨"
,,bone,"bone"
,,bone,"骨髓"
,,book,"book"
,,book,"书"
,,book,"本书"
,,book,"书本"
,,boot,"靴子"
,,boot,"鞋"
,,boot,"boot"
,,boot,"靴"
,,bottle,"瓶"
,,bottle,"bottle"
,,bottle,"瓶子"
,,box,"箱子"
,,box,"盒"
,,box,"盒子"
,,brow,"眉毛"
,,brow,"额头"
,,brow,"眉"
,,brow,"布朗"
,,butcher,"butcher"
,,butcher,"杀猪者"
,,butcher,"屠夫"
,,butcher,"肉店"
,,butterfly,"蝶"
,,butterfly,"蝶泳"
,,butterfly,"蝴蝶"
,,butterfly,"butterfly"
,,cab,"车"
,,cab,"出租车"
,,cab,"计程车"
,,cage,"笼子"
,,cage,"cage"
,,cage,"笼"
,,cage,"凯奇"
,,candle,"蜡烛"
,,candle,"candle"
,,candle,"烛光"
,,candle,"烛"
,,car,"轿车"
,,car,"车子"
,,car,"car"
,,car,"车"
,,car,"车轮"
,,car,"汽车"
,,cave,"洞"
,,cave,"山洞"
,,cave,"洞穴"
,,certainty,"确定性"
,,certainty,"确实"
,,certainty,"肯定"
,,certainty,"确定"
,,chain,"chain"
,,chain,"连锁"
,,chain,"链子"
,,chain,"链"
,,cheek,"脸"
,,cheek,"脸颊"
,,cheek,"脸上"
,,cheek,"脸脥"
,,cheek,"面颊"
,,chest,"胸口"
,,chest,"胸部"
,,chest,"胸"
,,chest,"胸膛"
,,clock,"时钟"
,,clock,"时间"
,,clock,"clock"
,,clock,"钟表"
,,clock,"钟"
,,coat,"外衣"
,,coat,"衣服"
,,coat,"外套"
,,coat,"大衣"
,,colour,"颜色"
,,colour,"色彩"
,,colour,"colour"
,,conscience,"良知"
,,conscience,"良心"
,,conscience,"conscience"
,,cotton,"棉花"
,,cotton,"棉花糖"
,,cotton,"cotton"
,,cotton,"棉"
,,country,"国"
,,country,"全国"
,,country,"田野"
,,country,"country"
,,country,"国家"
,,cow,"牛"
,,cow,"母牛"
,,cow,"cow"
,,cow,"奶牛"
,,coward,"懦夫"
,,coward,"coward"
,,coward,"胆小"
,,coward,"胆小鬼"
,,crime,"罪"
,,crime,"crime"
,,crime,"罪过"
,,crime,"案件"
,,crime,"犯罪"
,,crime,"罪行"
,,crown,"王冠"
,,crown,"crown"
,,crown,"皇冠"
,,cruelty,"残酷"
,,cruelty,"虐待"
,,cruelty,"残忍"
,,desk,"办公室"
,,desk,"办公桌"
,,desk,"课桌"
,,desk,"书桌"
,,desk,"桌子"
,,desk,"桌上"
,,difference,"差别"
,,difference,"差异"
,,difference,"差距"
,,difference,"区别"
,,difference,"不同"
,,dislike,"不爱"
,,dislike,"不喜欢"
,,dislike,"不"
,,dislike,"喜欢"
,,dislike,"讨厌"
,,doll,"娃娃"
,,doll,"洋娃娃"
,,doll,"玩偶"
,,doll,"娃娃玩具"
,,domain,"领地"
,,domain,"区域"
,,domain,"领域"
,,domain,"领土"
,,dove,"鸽子"
,,dove,"白鸽"
,,dove,"dove"
,,dove,"鸽"
,,duck,"鸭子"
,,duck,"鸭"
,,duck,"duck"
,,ear,"耳"
,,ear,"耳朵"
,,ear,"耳边"
,,ear,"ear"
,,elbow,"胳膊肘"
,,elbow,"肘"
,,elbow,"elbow"
,,elbow,"手肘"
,,eye,"eye"
,,eye,"眼光"
,,eye,"眼"
,,eye,"眼睛"
,,fair,"公平的"
,,fair,"fair"
,,fair,"公平"
,,fair,"好"
,,fair,"公正"
,,fame,"名声"
,,fame,"名气"
,,fame,"fame"
,,farmer,"农夫"
,,farmer,"农民"
,,farmer,"farmer"
,,fate,"fate"
,,fate,"命运"
,,fate,"命"
,,father,"爸"
,,father,"爸爸"
,,father,"教皇"
,,father,"父亲"
,,flower,"花朵"
,,flower,"flower"
,,flower,"花"
,,fox,"狐狸"
,,fox,"fox"
,,fox,"狐"
,,fox,"福克斯"
,,frog,"蛙"
,,frog,"frog"
,,frog,"青蛙"
,,funeral,"葬礼"
,,funeral,"funeral"
,,funeral,"殡仪馆"
,,funeral,"丧礼"
,,funny,"好笑"
,,funny,"好笑的"
,,funny,"滑稽的"
,,funny,"好玩"
,,funny,"有趣"
,,funny,"可笑的"
,,funny,"可笑"
,,garden,"园子"
,,garden,"garden"
,,garden,"院子"
,,garden,"花园"
,,garlic,"大蒜"
,,garlic,"蒜"
,,garlic,"蒜头"
,,garlic,"garlic"
,,guilt,"愧疚"
,,guilt,"罪恶感"
,,guilt,"内疚"
,,heart,"胸口"
,,heart,"心"
,,heart,"良心"
,,heart,"heart"
,,heart,"心脏"
,,herb,"herb"
,,herb,"草药"
,,herb,"药草"
,,herb,"香草"
,,herb,"草本"
,,house,"房子"
,,house,"屋子"
,,house,"房屋"
,,house,"house"
,,house,"家"
,,house,"房间"
,,huge,"巨大的"
,,huge,"巨大"
,,huge,"大"
,,huge,"非常大"
,,huge,"huge"
,,information,"消息"
,,information,"信息"
,,information,"情报"
,,insect,"insect"
,,insect,"虫子"
,,insect,"虫"
,,insect,"昆虫"
,,jail,"坐牢"
,,jail,"监牢"
,,jail,"监狱"
,,jail,"jail"
,,jaw,"jaw"
,,jaw,"下颚"
,,jaw,"下颌"
,,jaw,"下巴"
,,lady,"女士"
,,lady,"小姐"
,,lady,"女"
,,lady,"夫人"
,,lawn,"草"
,,lawn,"草地"
,,lawn,"lawn"
,,lawn,"草坪"
,,leader,"队长"
,,leader,"领导人"
,,leader,"领导者"
,,leader,"领导"
,,leader,"领袖"
,,lightning,"雷击"
,,lightning,"闪电"
,,lightning,"lightning"
,,lightning,"电"
,,lion,"lion"
,,lion,"狮子"
,,lion,"雄狮"
,,lion,"狮"
,,maid,"仆人"
,,maid,"女佣人"
,,maid,"女佣"
,,maid,"女仆"
,,maid,"伴娘"
,,memory,"回忆"
,,memory,"memory"
,,memory,"记忆"
,,memory,"记性"
,,method,"方法"
,,method,"办法"
,,method,"方式"
,,mill,"磨坊镇"
,,mill,"锯木厂"
,,mill,"磨坊"
,,mill,"磨房"
,,money,"币"
,,money,"所有物"
,,money,"金钱"
,,money,"money"
,,money,"银"
,,money,"价钱"
,,money,"有钱"
,,money,"票子"
,,money,"钱"
,,monk,"僧人"
,,monk,"道士"
,,monk,"僧侣"
,,monk,"和尚"
,,monk,"僧"
,,monkey,"猴"
,,monkey,"猴子"
,,monkey,"monkey"
,,moon,"月球"
,,moon,"月亮"
,,moon,"月"
,,moon,"moon"
,,mother,"妈妈"
,,mother,"妈"
,,mother,"母亲"
,,mouse,"鼠标"
,,mouse,"mouse"
,,mouse,"老鼠"
,,mouse,"鼠"
,,moustache,"小胡子"
,,moustache,"胡子"
,,moustache,"小胡须"
,,moustache,"moustache"
,,moustache,"小"
,,mule,"驴"
,,mule,"mule"
,,mule,"驴子"
,,mule,"骡子"
,,murderer,"谋杀犯"
,,murderer,"谋杀者"
,,murderer,"杀人"
,,murderer,"杀人犯"
,,murderer,"凶手"
,,murderer,"杀人凶手"
,,nice,"好的"
,,nice,"美好的"
,,nice,"不错"
,,nice,"高兴"
,,nice,"好"
,,night,"夜晚"
,,night,"晚上"
,,night,"晚安"
,,night,"夜"
,,night,"昨晚"
,,night,"夜里"
,,nose,"鼻"
,,nose,"nose"
,,nose,"鼻子"
,,nose,"大鼻子"
,,nose,"嗅觉"
,,oath,"宣誓"
,,oath,"誓"
,,oath,"誓言"
,,owner,"主人"
,,owner,"店主"
,,owner,"老板"
,,owner,"拥有者"
,,owner,"所有者"
,,panic,"惊慌"
,,panic,"恐慌"
,,panic,"panic"
,,passion,"激情"
,,passion,"热情"
,,passion,"passion"
,,peach,"蜜桃"
,,peach,"桃子"
,,peach,"peach"
,,peach,"桃"
,,pear,"梨"
,,pear,"pear"
,,pear,"梨子"
,,pencil,"笔"
,,pencil,"铅笔"
,,pencil,"pencil"
,,pine,"派恩"
,,pine,"松"
,,pine,"松树"
,,pine,"松木"
,,possibility,"可能性"
,,possibility,"possibility"
,,possibility,"可能"
,,power,"权力"
,,power,"电线"
,,power,"能力"
,,power,"power"
,,power,"力量"
,,power,"电"
,,power,"力度"
,,quarrel,"纠纷"
,,quarrel,"争吵"
,,quarrel,"吵架"
,,quarrel,"吵"
,,queen,"女王"
,,queen,"王后"
,,queen,"皇后"
,,queen,"女皇"
,,rabbit,"rabbit"
,,rabbit,"兔子"
,,rabbit,"兔"
,,reason,"理由"
,,reason,"原因"
,,reason,"reason"
,,rice,"大米"
,,rice,"米"
,,rice,"米饭"
,,rice,"饭"
,,rifle,"来复枪"
,,rifle,"福枪"
,,rifle,"枪"
,,rifle,"来福枪"
,,rifle,"步枪"
,,river,"溪流"
,,river,"溪"
,,river,"河流"
,,river,"河"
,,river,"河边"
,,road,"公路"
,,road,"路上"
,,road,"道路"
,,road,"路"
,,road,"马路"
,,road,"小路"
,,roof,"屋顶"
,,roof,"roof"
,,roof,"天花板"
,,roof,"房顶"
,,roof,"房子的顶"
,,rope,"绳"
,,rope,"绳索"
,,rope,"绳子"
,,rope,"rope"
,,rumour,"丑闻"
,,rumour,"谣言"
,,rumour,"传闻"
,,rumour,"传言"
,,rumour,"流言"
,,sauce,"酱汁"
,,sauce,"酱料"
,,sauce,"酱油"
,,sauce,"汁"
,,sauce,"沾料"
,,sauce,"酱"
,,scar,"伤疤"
,,scar,"刀疤"
,,scar,"疤"
,,scar,"疤痕"
,,sea,"海"
,,sea,"大海"
,,sea,"海洋"
,,shape,"形状"
,,shape,"状态"
,,shape,"形"
,,shape,"shape"
,,shape,"形态"
,,sheep,"小羊"
,,sheep,"sheep"
,,sheep,"绵羊"
,,sheep,"羊"
,,sheep,"羊羔"
,,shoe,"shoe"
,,shoe,"鞋子"
,,shoe,"鞋"
,,shortage,"缺"
,,shortage,"shortage"
,,shortage,"短缺"
,,shortage,"缺少"
,,shoulder,"肩膀"
,,shoulder,"shoulder"
,,shoulder,"肩上"
,,shoulder,"肩"
,,shy,"害羞"
,,shy,"别害"
,,shy,"羞"
,,shy,"害羞的"
,,simplicity,"简单"
,,simplicity,"简约"
,,simplicity,"单纯"
,,simplicity,"简单性"
,,sky,"天上"
,,sky,"天空"
,,sky,"sky"
,,sky,"天"
,,sleeve,"袖子"
,,sleeve,"衣袖"
,,sleeve,"sleeve"
,,sleeve,"袖"
,,smart,"聪明的"
,,smart,"明智"
,,smart,"聪明"
,,smart,"聪明人"
,,smart,"smart"
,,sock,"sock"
,,sock,"袜子"
,,sock,"闭嘴"
,,sock,"袜"
,,spoon,"汤匙"
,,spoon,"poon"
,,spoon,"勺"
,,spoon,"勺子"
,,stone,"斯通"
,,stone,"stone"
,,stone,"石头"
,,stone,"石"
,,street,"街上"
,,street,"街道"
,,street,"大街"
,,street,"街"
,,street,"路"
,,street,"马路"
,,summer,"夏天"
,,summer,"夏季"
,,summer,"夏"
,,summer,"暑假"
,,sun,"sun"
,,sun,"日"
,,sun,"太阳"
,,sun,"晨曦"
,,sun,"阳光"
,,tale,"传说"
,,tale,"故事"
,,tale,"童话"
,,tale,"tale"
,,tall,"身高"
,,tall,"高"
,,tall,"高大"
,,tall,"高的"
,,tall,"高个子"
,,tear,"眼泪"
,,tear,"泪"
,,tear,"tear"
,,tear,"把"
,,thief,"thief"
,,thief,"小偷"
,,thief,"贼"
,,throat,"喉咙"
,,throat,"嗓子"
,,throat,"throat"
,,throat,"脖子"
,,throat,"喉"
,,thumb,"thumb"
,,thumb,"大拇指"
,,thumb,"拇指"
,,ticket,"机票"
,,ticket,"车票"
,,ticket,"票子"
,,ticket,"票"
,,tiger,"tiger"
,,tiger,"老虎"
,,tiger,"虎"
,,tobacco,"bacco"
,,tobacco,"烟"
,,tobacco,"烟斗"
,,tobacco,"烟草"
,,tongue,"tongue"
,,tongue,"说话"
,,tongue,"舌头"
,,tongue,"舌"
,,town,"城镇"
,,town,"镇"
,,town,"镇上"
,,town,"城里"
,,town,"城"
,,town,"村子"
,,triangle,"金三角"
,,triangle,"三角形"
,,triangle,"三角"
,,trousers,"裤"
,,trousers,"trousers"
,,trousers,"长裤"
,,trousers,"裤子"
,,turtle,"乌龟"
,,turtle,"海龟"
,,turtle,"turtle"
,,turtle,"龟"
,,twilight,"紫悦"
,,twilight,"暮光"
,,twilight,"暮"
,,twilight,"暮暮"
,,twilight,"奇幻"
,,twin,"双胞胎"
,,twin,"双峰镇"
,,twin,"双峰"
,,twin,"双胞胎之一"
,,umbrella,"保护伞"
,,umbrella,"雨伞"
,,umbrella,"阳伞"
,,umbrella,"伞"
,,utensil,"工具"
,,utensil,"武器"
,,utensil,"头"
,,utensil,"尤腾斯尔"
,,utensil,"器具"
,,victim,"受害人"
,,victim,"死者"
,,victim,"被害人"
,,victim,"受害者"
,,victim,"替罪羊"
,,village,"村"
,,village,"镇"
,,village,"村子"
,,village,"村里"
,,village,"村庄"
,,wage,"发动"
,,wage,"薪水"
,,wage,"工资"
,,wages,"工钱"
,,wages,"薪水"
,,wages,"工资"
,,wall,"墙"
,,wall,"墙上"
,,wall,"墙壁"
,,wall,"wall"
,,wet,"弄湿"
,,wet,"湿"
,,wet,"潮湿"
,,wet,"湿透"
,,wet,"湿的"
,,whale,"鲸鱼"
,,whale,"whale"
,,whale,"鲸"
,,wheel,"轮"
,,wheel,"wheel"
,,wheel,"车轮"
,,wheel,"轮子"
,,wheel,"方向盘"
,,window,"窗口"
,,window,"窗户"
,,window,"窗外"
,,window,"窗"
,,winter,"冬季"
,,winter,"winter"
,,winter,"冬天"
,,winter,"冬"
,,wish,"愿望"
,,wish,"希望"
,,wish,"wish"
,,wish,"想"
,,wood,"木头"
,,wood,"木材"
,,wood,"木"
,,wood,"wood"
,,wood,"树"
,,wood,"伍德"
,,word,"品质"
,,word,"单词"
,,word,"字"
,,word,"词"
,,word,"word"
,,worth,"值"
,,worth,"价值"
,,worth,"值得"
,,action,"开始"
,,action,"动作"
,,action,"action"
,,action,"行为"
,,action,"行动"
,,action,"举动"
,,alley,"球馆"
,,alley,"小街头"
,,alley,"小巷"
,,alley,"巷子"
,,alley,"小路"
,,anger,"怒气"
,,anger,"怒火"
,,anger,"愤怒"
,,anger,"anger"
,,anger,"生气"
,,anger,"怒"
,,attempt,"试图"
,,attempt,"尝试"
,,attempt,"努力"
,,attempt,"企图"
,,aunt,"阿姨"
,,aunt,"姨"
,,aunt,"舅妈"
,,aunt,"姑姑"
,,aunt,"姨妈"
,,aunt,"舅舅"
,,aunt,"姑妈"
,,bag,"口袋"
,,bag,"包"
,,bag,"bag"
,,bag,"袋子"
,,baker,"面包师"
,,baker,"baker"
,,baker,"烘培师傅"
,,baker,"贝克"
,,baker,"烘培师"
,,base,"底"
,,base,"基地"
,,base,"本"
,,base,"垒"
,,base,"基础"
,,base,"base"
,,belt,"带"
,,belt,"腰带"
,,belt,"安全带"
,,belt,"皮带"
,,belt,"带子"
,,bid,"投标"
,,bid,"竞价"
,,bid,"bid"
,,bid,"出价"
,,blame,"谴责"
,,blame,"责怪"
,,blame,"怪罪"
,,blame,"blame"
,,blame,"怪"
,,blame,"责备"
,,blind,"瞎的"
,,blind,"瞎"
,,blind,"盲"
,,blind,"盲的"
,,blind,"失明"
,,blind,"瞎子"
,,blind,"盲人"
,,blind,"眼"
,,blind,"失明的"
,,block,"街道"
,,block,"堵塞"
,,block,"挡"
,,block,"块"
,,block,"街区"
,,block,"阻碍"
,,block,"block"
,,block,"街"
,,bold,"大胆的"
,,bold,"加粗的"
,,bold,"大胆"
,,bold,"加粗"
,,bold,"勇敢的"
,,bold,"bold"
,,bold,"胆大的"
,,bold,"勇敢"
,,bold,"粗体的"
,,case,"案子"
,,case,"盒子"
,,case,"案例"
,,case,"例子"
,,case,"箱子"
,,case,"case"
,,case,"情况"
,,case,"案件"
,,cause,"因为"
,,cause,"原因"
,,cause,"cause"
,,cause,"导致"
,,cause,"引起"
,,cause,"起因"
,,ceiling,"屋顶"
,,ceiling,"天花板"
,,ceiling,"房顶"
,,ceiling,"ceiling"
,,ceiling,"花板"
,,change,"变换"
,,change,"变化"
,,change,"change"
,,change,"换"
,,change,"改变"
,,circle,"周期"
,,circle,"圈子"
,,circle,"圈圈"
,,circle,"圈"
,,circle,"circle"
,,circle,"圆圈"
,,circle,"地狱"
,,circle,"圆"
,,climate,"天气"
,,climate,"climate"
,,climate,"气候"
,,climate,"气温"
,,cloak,"披风"
,,cloak,"覆盖"
,,cloak,"袍子"
,,cloak,"外衣"
,,cloak,"斗篷"
,,cloak,"cloak"
,,confession,"告解"
,,confession,"告白"
,,confession,"忏悔"
,,confession,"承认"
,,confession,"表白"
,,confession,"坦白"
,,creation,"创造物"
,,creation,"创作"
,,creation,"创造"
,,creation,"creation"
,,crude,"凶残"
,,crude,"粗糙"
,,crude,"粗鲁"
,,crude,"粗糙的"
,,crude,"原油"
,,crude,"crude"
,,cruel,"残酷"
,,cruel,"残忍的"
,,cruel,"凶"
,,cruel,"残酷的"
,,cruel,"冷酷的"
,,cruel,"残忍"
,,cruel,"cruel"
,,current,"目前"
,,current,"现在"
,,current,"当前"
,,current,"current"
,,current,"电流"
,,curse,"咒"
,,curse,"咒语"
,,curse,"curse"
,,curse,"骂"
,,curse,"诅咒"
,,cycle,"自行车"
,,cycle,"周期"
,,cycle,"圈圈"
,,cycle,"圈"
,,cycle,"循环"
,,cycle,"轮回"
,,cycle,"圆"
,,dance,"舞蹈"
,,dance,"舞"
,,dance,"跳舞"
,,dance,"跳"
,,dawn,"晓"
,,dawn,"天亮"
,,dawn,"晨曦"
,,dawn,"黎明"
,,dawn,"dawn"
,,day,"日期"
,,day,"一天"
,,day,"天"
,,day,"日子"
,,day,"日"
,,day,"每天"
,,day,"天气"
,,day,"秋天"
,,day,"白天"
,,day,"天真"
,,day,"day"
,,defeat,"击败"
,,defeat,"打败"
,,defeat,"失败"
,,delay,"拖延"
,,delay,"推迟"
,,delay,"延误"
,,delay,"延迟"
,,dirt,"丑闻"
,,dirt,"泥巴"
,,dirt,"土"
,,dirt,"污垢"
,,dirt,"泥土"
,,dirt,"泥"
,,dirt,"灰尘"
,,dirt,"dirt"
,,dirt,"尘"
,,dirt,"污泥"
,,dirt,"尘土"
,,disadvantage,"劣势"
,,disadvantage,"不利条件"
,,disadvantage,"不利处"
,,disadvantage,"缺点"
,,disadvantage,"不利"
,,dull,"傻的"
,,dull,"愚钝的"
,,dull,"笨"
,,dull,"沉闷的"
,,dull,"沉闷"
,,dull,"无聊的"
,,dull,"无趣"
,,dull,"钝"
,,dull,"暗"
,,dull,"乏味"
,,dull,"无聊"
,,dull,"傻"
,,dull,"迟钝的"
,,dust,"dust"
,,dust,"土"
,,dust,"尘埃"
,,dust,"灰尘"
,,dust,"灰"
,,dust,"尘"
,,dust,"尘土"
,,duty,"任务"
,,duty,"职责"
,,duty,"义务"
,,duty,"使命"
,,duty,"duty"
,,duty,"责任"
,,ease,"轻松"
,,ease,"放松"
,,ease,"稍息"
,,ease,"ease"
,,ease,"缓和"
,,ease,"减轻"
,,ease,"容易"
,,end,"底"
,,end,"终"
,,end,"完"
,,end,"结尾"
,,end,"尽头"
,,end,"end"
,,end,"结束"
,,end,"最后"
,,entry,"入口"
,,entry,"进口"
,,entry,"条目"
,,entry,"输入"
,,entry,"entry"
,,entry,"进入"
,,faith,"信仰"
,,faith,"信心"
,,faith,"信念"
,,field,"田地"
,,field,"田"
,,field,"球场"
,,field,"field"
,,field,"领域"
,,field,"田野"
,,figure,"图像"
,,figure,"图形"
,,figure,"figure"
,,figure,"想"
,,figure,"知道"
,,figure,"人物"
,,flaw,"错误"
,,flaw,"瑕疵"
,,flaw,"漏洞"
,,flaw,"缺点"
,,flaw,"缺陷"
,,form,"form"
,,form,"形"
,,form,"形成"
,,form,"表格"
,,form,"组成"
,,form,"形式"
,,form,"类型"
,,form,"形态"
,,fur,"皮"
,,fur,"皮草"
,,fur,"皮毛"
,,fur,"毛皮"
,,gap,"gap"
,,gap,"空隙"
,,gap,"差距"
,,gap,"缺口"
,,gas,"加油站"
,,gas,"汽油"
,,gas,"燃气"
,,gas,"气"
,,gas,"气体"
,,giant,"巨大的"
,,giant,"巨大"
,,giant,"巨人"
,,giant,"giant"
,,gold,"黄金"
,,gold,"gold"
,,gold,"金色"
,,gold,"金子"
,,gold,"金"
,,gold,"金的"
,,height,"身高"
,,height,"高"
,,height,"高度"
,,holy,"神圣"
,,holy,"holy"
,,holy,"神圣的"
,,holy,"上帝的"
,,holy,"圣洁的"
,,holy,"我"
,,holy,"圣"
,,honey,"蜜"
,,honey,"蜜糖"
,,honey,"亲爱"
,,honey,"蜂蜜"
,,honey,"亲爱的"
,,honey,"甜心"
,,honey,"宝贝"
,,ink,"墨水"
,,ink,"墨汁"
,,ink,"纹身"
,,ink,"ink"
,,ink,"墨"
,,jar,"jar"
,,jar,"罐"
,,jar,"瓶子"
,,jar,"罐头"
,,jar,"罐子"
,,jar,"广口瓶"
,,jar,"瓶"
,,joy,"欢乐"
,,joy,"乐"
,,joy,"高兴"
,,joy,"快乐"
,,joy,"喜悦"
,,joy,"乐趣"
,,joy,"joy"
,,joy,"欢"
,,king,"国王"
,,king,"king"
,,king,"金"
,,king,"王"
,,king,"皇帝"
,,knife,"刀子"
,,knife,"餐刀"
,,knife,"knife"
,,knife,"刀"
,,lamb,"绵羊"
,,lamb,"羔羊"
,,lamb,"小羊"
,,lamb,"羊肉"
,,lamb,"羊羔"
,,lamb,"羊"
,,lens,"透镜"
,,lens,"镜头"
,,lens,"隐形眼镜"
,,lens,"lens"
,,lens,"镜片"
,,lie,"撒谎"
,,lie,"躺"
,,lie,"谎言"
,,lie,"说谎"
,,lie,"谎"
,,luck,"祝"
,,luck,"好运"
,,luck,"幸运"
,,luck,"运气"
,,majority,"大多数"
,,majority,"大部分的"
,,majority,"多数"
,,majority,"大部分"
,,manner,"方法"
,,manner,"态度"
,,manner,"举止"
,,manner,"方式"
,,manner,"manner"
,,meeting,"会"
,,meeting,"会议"
,,meeting,"见面"
,,meeting,"会面"
,,meeting,"开会"
,,message,"消息"
,,message,"留言"
,,message,"信息"
,,middle,"middle"
,,middle,"中"
,,middle,"中间"
,,middle,"中东"
,,middle,"中间的"
,,mouth,"嘴里"
,,mouth,"口"
,,mouth,"嘴"
,,mouth,"嘴巴"
,,mouth,"舌"
,,mud,"泥"
,,mud,"泥巴"
,,mud,"mud"
,,mud,"泥土"
,,mud,"污泥"
,,necessity,"必需品"
,,necessity,"必须"
,,necessity,"必要"
,,necessity,"需要"
,,necessity,"必要性"
,,noble,"高贵的"
,,noble,"贵族"
,,noble,"高尚的"
,,noble,"高贵"
,,noble,"贵族的"
,,noble,"高尚"
,,nonsense,"胡言乱语"
,,nonsense,"胡闹"
,,nonsense,"胡说八道"
,,nonsense,"胡说"
,,nonsense,"废话"
,,odd,"奇怪"
,,odd,"单数"
,,odd,"怪"
,,odd,"奇怪的"
,,odd,"odd"
,,odd,"离奇"
,,odd,"单"
,,opinion,"看法"
,,opinion,"观点"
,,opinion,"看来"
,,opinion,"想法"
,,opinion,"意见"
,,order,"指令"
,,order,"为了"
,,order,"顺序"
,,order,"秩序"
,,order,"订单"
,,order,"order"
,,order,"次序"
,,order,"命令"
,,paint,"油漆"
,,paint,"画画"
,,paint,"颜料"
,,paint,"画"
,,pair,"一双"
,,pair,"对"
,,pair,"一对"
,,pair,"双"
,,pair,"配对"
,,pants,"裤"
,,pants,"披风"
