,Concept_ID,en,ja
,,for,"を"
,,for,"も"
,,for,"に"
,,for,"為"
,,for,"につき"
,,for,"とっ"
,,for,"こと"
,,for,"の"
,,for,"容疑"
,,for,"し"
,,for,"罪"
,,for,"残虐"
,,for,"れ"
,,for,"は"
,,for,"でし"
,,for,"問わ"
,,for,"政策"
,,for,"による"
,,for,"により"
,,for,"に関して"
,,for,"た"
,,for,"刑"
,,for,"に対して"
,,for,"用"
,,for,"殺人"
,,for,"に対し"
,,for,"にとって"
,,for,"へ"
,,for,"に対する"
,,for,"によって"
,,for,"が"
,,for,"について"
,,for,"克服"
,,for,"ため"
,,for,"として"
,,for,"て"
,,for,"なり"
,,for,"で"
,,compromise,"提供"
,,compromise,"を"
,,compromise,"た"
,,compromise,"逃す"
,,compromise,"に"
,,compromise,"妥協"
,,compromise,"られる"
,,compromise,"する"
,,compromise,"妨げ"
,,compromise,"犠牲"
,,compromise,"し"
,,compromise,"危うく"
,,compromise,"について"
,,compromise,"得よ"
,,compromise,"損ねる"
,,compromise,"ダメ"
,,compromise,"う"
,,compromise,"さまたげる"
,,reluctant,"なかなか"
,,reluctant,"妥協"
,,reluctant,"的"
,,reluctant,"は"
,,reluctant,"する"
,,reluctant,"ない"
,,reluctant,"消極"
,,reluctant,"こと"
,,are,"だ"
,,are,"もっとも"
,,are,"国"
,,are,"あり"
,,are,"それら"
,,are,"ませ"
,,are,"を"
,,are,"も"
,,are,"な"
,,are,"い"
,,are,"ある"
,,are,"に"
,,are,"ます"
,,are,"ん"
,,are,"です"
,,are,"こと"
,,are,"き"
,,are,"の"
,,are,"る"
,,are,"が"
,,are,"おり"
,,are,"国々"
,,are,"いる"
,,are,"行く"
,,are,"は"
,,are,"で"
,,although,"た"
,,although,"追求"
,,although,"も"
,,although,"に"
,,although,"一方"
,,although,"関わら"
,,although,"けど"
,,although,"けれども"
,,although,"です"
,,although,"しかし"
,,although,"つつ"
,,although,"上"
,,although,"し"
,,although,"が"
,,although,"と"
,,although,"ず"
,,although,"で"
,,on,"の"
,,on,"上"
,,on,"に対する"
,,on,"にて"
,,on,"早く"
,,on,"に関する"
,,on,"について"
,,on,"伴う"
,,on,"に対して"
,,on,"に"
,,on,"する"
,,on,"て"
,,on,"かんし"
,,on,"へ"
,,on,"対応"
,,on,"で"
,,action,"により"
,,action,"を"
,,action,"措置"
,,action,"な"
,,action,"活動"
,,action,"する"
,,action,"起こす"
,,action,"不十分"
,,action,"対策"
,,action,"対応"
,,action,"こと"
,,action,"取り組み"
,,action,"で"
,,action,"によって"
,,action,"行為"
,,action,"が"
,,action,"ネジ"
,,action,"戦闘"
,,action,"は"
,,action,"アクション"
,,action,"行動"
,,action,"政策"
,,threaten,"を"
,,threaten,"脅す"
,,threaten,"阻害"
,,threaten,"れる"
,,threaten,"ある"
,,threaten,"脅威"
,,threaten,"に"
,,threaten,"促す"
,,threaten,"られる"
,,threaten,"する"
,,threaten,"妨げ"
,,threaten,"脅し"
,,threaten,"の"
,,threaten,"なる"
,,threaten,"影響"
,,threaten,"脅迫"
,,threaten,"及ぼす"
,,threaten,"脅かさ"
,,threaten,"危うく"
,,threaten,"が"
,,threaten,"脅かし"
,,threaten,"脅かす"
,,threaten,"もの"
,,threaten,"いる"
,,threaten,"れ"
,,threaten,"て"
,,threaten,"妨げる"
,,threaten,"で"
,,implement,"実行"
,,implement,"提供"
,,implement,"を"
,,implement,"さ"
,,implement,"実施"
,,implement,"導入"
,,implement,"に"
,,implement,"する"
,,implement,"設置"
,,implement,"実践"
,,implement,"の"
,,implement,"思っ"
,,implement,"実装"
,,implement,"投入"
,,implement,"活用"
,,implement,"など"
,,implement,"し"
,,implement,"習得"
,,implement,"採用"
,,implement,"せ"
,,implement,"入れる"
,,implement,"向上"
,,implement,"取り入れ"
,,implement,"手"
,,implement,"進める"
,,implement,"失敗"
,,implement,"て"
,,implement,"利用"
,,implement,"いく"
,,encourage,"推し進める"
,,encourage,"促進"
,,encourage,"を"
,,encourage,"励まし"
,,encourage,"支援"
,,encourage,"勧め"
,,encourage,"促し"
,,encourage,"する"
,,encourage,"奨励"
,,incentives,"国"
,,incentives,"を"
,,incentives,"インセンティブ"
,,incentives,"先進"
,,incentives,"資金"
,,incentives,"褒美"
,,incentives,"動機"
,,incentives,"か"
,,incentives,"インテンシブ"
,,incentives,"対策"
,,incentives,"の"
,,incentives,"金"
,,incentives,"きっかけ"
,,incentives,"が"
,,incentives,"援助"
,,incentives,"は"
,,incentives,"幾ばく"
,,and,"を"
,,and,"たり"
,,and,"まえ"
,,and,"な"
,,and,"および"
,,and,"そう"
,,and,"含む"
,,and,"また"
,,and,"含め"
,,and,"ますます"
,,and,"しかし"
,,and,"こと"
,,and,"の"
,,and,"更に"
,,and,"仲間"
,,and,"伴い"
,,and,"学者"
,,and,"もしくは"
,,and,"ならびに"
,,and,"持ち出し"
,,and,"とも"
,,and,"それ"
,,and,"これ"
,,and,"など"
,,and,"が"
,,and,"だけ"
,,and,"締め付け"
,,and,"で"
,,and,"増やし"
,,and,"あり"
,,and,"も"
,,and,"れる"
,,and,"動機"
,,and,"する"
,,and,"用い"
,,and,"あと"
,,and,"し"
,,and,"及び"
,,and,"なく"
,,and,"しかも"
,,and,"おり"
,,and,"と"
,,and,"ば"
,,and,"は"
,,and,"か弱い"
,,and,"よう"
,,and,"呼びかけ"
,,and,"そして"
,,and,"や"
,,and,"により"
,,and,"あるいは"
,,and,"ながら"
,,and,"高まり"
,,and,"同時に"
,,and,"さらに"
,,and,"つつ"
,,and,"その"
,,and,"退き"
,,and,"によって"
,,and,"ため"
,,and,"とともに"
,,and,"等"
,,and,"て"
,,and,"う"
,,deforestation,"の"
,,deforestation,"物質"
,,deforestation,"破壊"
,,deforestation,"地球"
,,deforestation,"専任"
,,deforestation,"減少"
,,deforestation,"消滅"
,,deforestation,"汚染"
,,deforestation,"森林"
,,deforestation,"伐採"
,,from,"を"
,,from,"さ"
,,from,"由来"
,,from,"もと"
,,from,"語源"
,,from,"ある"
,,from,"れる"
,,from,"に"
,,from,"する"
,,from,"こと"
,,from,"の"
,,from,"組み合わせ"
,,from,"し"
,,from,"収容"
,,from,"という"
,,from,"と"
,,from,"いる"
,,from,"元"
,,from,"もの"
,,from,"れ"
,,from,"は"
,,from,"でし"
,,from,"引き起こさ"
,,from,"言う"
,,from,"くる"
,,from,"グラスゴ"
,,from,"による"
,,from,"以来"
,,from,"だ"
,,from,"により"
,,from,"た"
,,from,"生まれ"
,,from,"出身"
,,from,"い"
,,from,"ます"
,,from,"なっ"
,,from,"グラスゴー"
,,from,"この"
,,from,"です"
,,from,"それ"
,,from,"言葉"
,,from,"崩壊"
,,from,"によって"
,,from,"が"
,,from,"原因"
,,from,"繋げ"
,,from,"ため"
,,from,"て"
,,from,"生じる"
,,from,"要因"
,,from,"よる"
,,from,"から"
,,from,"で"
,,emissions,"温暖"
,,emissions,"増加"
,,emissions,"放出"
,,emissions,"二酸化炭素"
,,emissions,"エミッション"
,,emissions,"排気"
,,emissions,"汚染"
,,emissions,"地球"
,,emissions,"温室"
,,emissions,"co"
,,emissions,"の"
,,emissions,"影響"
,,emissions,"物"
,,emissions,"廃棄"
,,emissions,"量"
,,emissions,"効果"
,,emissions,"化"
,,emissions,"放射"
,,emissions,"ガス"
,,emissions,"排出"
,,emissions,"伐採"
,,minimise,"抑える"
,,minimise,"軽減"
,,minimise,"を"
,,minimise,"最小限"
,,minimise,"れる"
,,minimise,"に"
,,minimise,"くい止める"
,,minimise,"する"
,,minimise,"低下"
,,minimise,"こと"
,,minimise,"の"
,,minimise,"抑え"
,,minimise,"など"
,,minimise,"低減"
,,minimise,"調べろ"
,,minimise,"留め"
,,minimise,"よう"
,,minimise,"化"
,,minimise,"最小"
,,minimise,"削減"
,,vulnerable,"弱い"
,,vulnerable,"を"
,,vulnerable,"な"
,,vulnerable,"弱っ"
,,vulnerable,"脆弱"
,,vulnerable,"立場"
,,vulnerable,"受け"
,,vulnerable,"防備"
,,vulnerable,"の"
,,vulnerable,"被害"
,,vulnerable,"発展"
,,vulnerable,"性"
,,vulnerable,"が"
,,vulnerable,"やすい"
,,vulnerable,"遅れ"
,,vulnerable,"いる"
,,vulnerable,"て"
,,vulnerable,"貧弱"
,,countries,"国"
,,countries,"カ国"
,,countries,"は"
,,countries,"か国"
,,countries,"国々"
,,some,"国"
,,some,"あり"
,,some,"を"
,,some,"少し"
,,some,"何"
,,some,"つ"
,,some,"いく"
,,some,"も"
,,some,"とある"
,,some,"ある"
,,some,"に"
,,some,"ます"
,,some,"か"
,,some,"いくつ"
,,some,"部"
,,some,"か国"
,,some,"の"
,,some,"幾ばく"
,,some,"が"
,,some,"多く"
,,some,"は"
,,some,"携わる"
,,some,"中"
,,some,"多少"
,,some,"一部"
,,but,"もしくは"
,,but,"も"
,,but,"しか"
,,but,"ながら"
,,but,"に"
,,but,"また"
,,but,"のに"
,,but,"一方"
,,but,"関わら"
,,but,"同時に"
,,but,"しかし"
,,but,"が"
,,but,"ものの"
,,but,"しかも"
,,but,"ただし"
,,but,"以外"
,,but,"ず"
,,but,"しかしながら"
,,but,"逆"
,,but,"かかわら"
,,but,"で"
,,adapt,"順応"
,,adapt,"し"
,,adapt,"が"
,,adapt,"適応"
,,adapt,"適合"
,,adapt,"努力"
,,adapt,"対応"
,,adapt,"する"
,,adapt,"て"
,,adapt,"できる"
,,adapt,"取り組む"
,,adapt,"いく"
,,adaptation,"の"
,,adaptation,"順応"
,,adaptation,"適当"
,,adaptation,"し"
,,adaptation,"受け入れ"
,,adaptation,"適応"
,,adaptation,"適合"
,,adaptation,"生活"
,,adaptation,"に"
,,adaptation,"主演"
,,adaptation,"気候"
,,adaptation,"する"
,,adaptation,"対策"
,,adaptation,"対応"
,,adaptation,"改善"
,,adaptation,"変動"
,,mitigation,"軽減"
,,mitigation,"しよ"
,,mitigation,"を"
,,mitigation,"た"
,,mitigation,"緩和"
,,mitigation,"さ"
,,mitigation,"せる"
,,mitigation,"沈静"
,,mitigation,"説得"
,,mitigation,"向け"
,,mitigation,"する"
,,mitigation,"へ"
,,mitigation,"策"
,,mitigation,"の"
,,mitigation,"言っ"
,,mitigation,"その"
,,mitigation,"影響"
,,mitigation,"という"
,,mitigation,"と"
,,mitigation,"削減"
,,mitigation,"気候"
,,mitigation,"化"
,,mitigation,"て"
,,mitigation,"う"
,,mitigation,"ガス"
,,mitigation,"排出"
,,mitigation,"変動"
,,efforts,"取り組み"
,,efforts,"策"
,,efforts,"が"
,,efforts,"努力"
,,efforts,"に"
,,efforts,"尽力"
,,efforts,"は"
,,efforts,"活動"
,,efforts,"対策"
,,efforts,"で"
,,must,"なけれ"
,,must,"あり"
,,must,"いく"
,,must,"な"
,,must,"ある"
,,must,"べき"
,,must,"ね"
,,must,"ます"
,,must,"必要"
,,must,"ない"
,,must,"違い"
,,must,"です"
,,must,"必ず"
,,must,"の"
,,must,"なら"
,,must,"が"
,,must,"いか"
,,must,"なく"
,,must,"ば"
,,must,"もの"
,,must,"は"
,,must,"て"
,,must,"で"
,,families,"それぞれ"
,,families,"一般"
,,families,"額"
,,families,"イギリス"
,,families,"生活"
,,families,"世帯"
,,families,"に"
,,families,"各"
,,families,"あたり"
,,families,"人々"
,,families,"の"
,,families,"家計"
,,families,"ら"
,,families,"家庭"
,,families,"が"
,,families,"一族"
,,families,"一"
,,families,"消費"
,,families,"家族"
,,families,"は"
,,families,"ファミリー"
,,families,"所帯"
,,families,"費"
,,families,"で"
,,in,"あり"
,,in,"を"
,,in,"短い"
,,in,"史上"
,,in,"当時"
,,in,"れる"
,,in,"まし"
,,in,"に"
,,in,"ある"
,,in,"する"
,,in,"間"
,,in,"の"
,,in,"という"
,,in,"に関する"
,,in,"期間"
,,in,"は"
,,in,"でし"
,,in,"並ぶ"
,,in,"暖かい"
,,in,"にて"
,,in,"における"
,,in,"た"
,,in,"売ら"
,,in,"出現"
,,in,"に対して"
,,in,"産業"
,,in,"ダルフール"
,,in,"ハーグ"
,,in,"於け"
,,in,"において"
,,in,"内"
,,in,"へ"
,,in,"言葉"
,,in,"高騰"
,,in,"事"
,,in,"事件"
,,in,"に対する"
,,in,"る"
,,in,"石油"
,,in,"入れる"
,,in,"ぶり"
,,in,"年"
,,in,"中"
,,in,"darfur"
,,in,"で"
,,increase,"高騰"
,,increase,"増加"
,,increase,"増やす"
,,increase,"高める"
,,increase,"上げ"
,,increase,"し"
,,increase,"値上がり"
,,increase,"増大"
,,increase,"増え"
,,increase,"構造"
,,increase,"上昇"
,,with,"あり"
,,with,"を"
,,with,"かかえ"
,,with,"も"
,,with,"ある"
,,with,"まし"
,,with,"に"
,,with,"同伴"
,,with,"擁する"
,,with,"の"
,,with,"患っ"
,,with,"持つ"
,,with,"問題"
,,with,"囲わ"
,,with,"と"
,,with,"おり"
,,with,"れ"
,,with,"は"
,,with,"伴い"
,,with,"所属"
,,with,"による"
,,with,"患う"
,,with,"疾患"
,,with,"者"
,,with,"た"
,,with,"わずらう"
,,with,"政府"
,,with,"い"
,,with,"高齢"
,,with,"抱え"
,,with,"とも"
,,with,"持っ"
,,with,"とどめる"
,,with,"に対する"
,,with,"が"
,,with,"付き"
,,with,"ため"
,,with,"とともに"
,,with,"等"
,,with,"て"
,,with,"で"
,,hit,"を"
,,hit,"た"
,,hit,"圧迫"
,,hit,"撃た"
,,hit,"ヒット"
,,hit,"ファール"
,,hit,"打つ"
,,hit,"しぶしぶ"
,,hit,"打た"
,,hit,"うけ"
,,hit,"悲鳴"
,,hit,"打ち"
,,hit,"大"
,,hit,"受け"
,,hit,"挑み"
,,hit,"影響"
,,hit,"悩む"
,,hit,"与える"
,,hit,"し"
,,hit,"打撃"
,,hit,"苦しむ"
,,hit,"直撃"
,,hit,"受ける"
,,hit,"いる"
,,hit,"直面"
,,hit,"て"
,,hit,"打っ"
,,hit,"殴っ"
,,hit,"もたらす"
,,british,"の"
,,british,"英国"
,,british,"における"
,,british,"イギリス"
,,british,"に"
,,british,"は"
,,british,"住む"
,,british,"大英"
,,british,"で"
,,prices,"も"
,,prices,"価格"
,,prices,"物価"
,,prices,"率"
,,prices,"に"
,,prices,"値上がり"
,,prices,"この"
,,prices,"小売"
,,prices,"商品"
,,prices,"の"
,,prices,"品物"
,,prices,"など"
,,prices,"販売"
,,prices,"これら"
,,prices,"が"
,,prices,"値"
,,prices,"値段"
,,prices,"は"
,,prices,"費"
,,prices,"上昇"
,,rate,"増加"
,,rate,"さ"
,,rate,"年間"
,,rate,"利率"
,,rate,"率"
,,rate,"数"
,,rate,"割合"
,,rate,"心拍"
,,rate,"スピード"
,,rate,"速"
,,rate,"勢い"
,,rate,"水準"
,,rate,"速度"
,,rate,"の"
,,rate,"高騰"
,,rate,"料金"
,,rate,"レート"
,,rate,"ペース"
,,rate,"高い"
,,rate,"水域"
,,rate,"もの"
,,rate,"高"
,,rate,"上昇"
,,at,"なる"
,,at,"少なく"
,,at,"ほど"
,,at,"と"
,,at,"いる"
,,at,"に"
,,at,"達する"
,,at,"なっ"
,,at,"て"
,,at,"にて"
,,at,"で"
,,soar,"増加"
,,soar,"上がり"
,,soar,"を"
,,soar,"た"
,,soar,"上がる"
,,soar,"急騰"
,,soar,"価格"
,,soar,"割合"
,,soar,"増える"
,,soar,"値上がり"
,,soar,"する"
,,soar,"急上昇"
,,soar,"舞い上がっ"
,,soar,"です"
,,soar,"見せ"
,,soar,"こと"
,,soar,"高騰"
,,soar,"の"
,,soar,"し"
,,soar,"が"
,,soar,"はね上がっ"
,,soar,"上がっ"
,,soar,"いる"
,,soar,"ため"
,,soar,"は"
,,soar,"誇る"
,,soar,"て"
,,soar,"上昇"
,,supermarkets,"用品"
,,supermarkets,"食料"
,,supermarkets,"マーケット"
,,supermarkets,"特に"
,,supermarkets,"備え"
,,supermarkets,"生活"
,,supermarkets,"品"
,,supermarkets,"に"
,,supermarkets,"小売"
,,supermarkets,"大型"
,,supermarkets,"食品"
,,supermarkets,"スーパ"
,,supermarkets,"スーパー"
,,supermarkets,"生鮮"
,,supermarkets,"スーパーマーケット"
,,supermarkets,"店"
,,analysts,"者"
,,analysts,"分析"
,,analysts,"家"
,,analysts,"研究"
,,analysts,"アナリスト"
,,analysts,"専門"
,,analysts,"に"
,,analysts,"よれ"
,,analysts,"の"
,,analysts,"たち"
,,analysts,"よる"
,,analysts,"と"
,,analysts,"が"
,,analysts,"ば"
,,analysts,"経済"
,,analysts,"は"
,,analysts,"官"
,,analysts,"ら"
,,that,"を"
,,that,"いう"
,,that,"もと"
,,that,"下回る"
,,that,"嫌っ"
,,that,"そう"
,,that,"当時"
,,that,"に"
,,that,"為"
,,that,"する"
,,that,"か"
,,that,"すなわち"
,,that,"こと"
,,that,"の"
,,that,"し"
,,that,"という"
,,that,"と"
,,that,"いる"
,,that,"例"
,,that,"れ"
,,that,"は"
,,that,"あれ"
,,that,"言う"
,,that,"同"
,,that,"言わ"
,,that,"だ"
,,that,"示す"
,,that,"といった"
,,that,"こう"
,,that,"た"
,,that,"こそ"
,,that,"い"
,,that,"だっ"
,,that,"す"
,,that,"ダルフール"
,,that,"立場"
,,that,"です"
,,that,"それ"
,,that,"これ"
,,that,"勝る"
,,that,"その"
,,that,"が"
,,that,"わけ"
,,that,"ため"
,,that,"て"
,,that,"よる"
,,that,"から"
,,that,"で"
,,inflation,"の"
,,inflation,"インフレ"
,,inflation,"物価"
,,inflation,"が"
,,inflation,"率"
,,inflation,"貨幣"
,,inflation,"対抗"
,,inflation,"は"
,,inflation,"インフラ"
,,inflation,"インフレーション"
,,inflation,"策"
,,keep,"抑える"
,,keep,"保と"
,,keep,"しよ"
,,keep,"を"
,,keep,"保ち"
,,keep,"防ぐ"
,,keep,"保持"
,,keep,"たちまち"
,,keep,"蓄える"
,,keep,"に"
,,keep,"保存"
,,keep,"抑制"
,,keep,"する"
,,keep,"保っ"
,,keep,"離す"
,,keep,"対応"
,,keep,"守る"
,,keep,"保管"
,,keep,"抑え込み"
,,keep,"抑え"
,,keep,"し"
,,keep,"継続"
,,keep,"続ける"
,,keep,"続行"
,,keep,"留め"
,,keep,"維持"
,,keep,"保た"
,,keep,"保つ"
,,keep,"続け"
,,keep,"う"
,,escalating,"高騰"
,,escalating,"速度"
,,escalating,"急騰"
,,escalating,"向上"
,,escalating,"が"
,,escalating,"に"
,,escalating,"悪化"
,,escalating,"エスカレート"
,,escalating,"は"
,,escalating,"増大"
,,escalating,"する"
,,escalating,"上昇"
,,especially,"を"
,,especially,"も"
,,especially,"特に"
,,especially,"とくに"
,,especially,"大きい"
,,especially,"ある"
,,especially,"に"
,,especially,"て"
,,especially,"当てはまり"
,,especially,"ます"
,,especially,"この"
,,especially,"状況"
,,especially,"負担"
,,especially,"です"
,,especially,"こと"
,,especially,"それ"
,,especially,"影響"
,,especially,"顕著"
,,especially,"とりわけ"
,,especially,"し"
,,especially,"が"
,,especially,"いる"
,,especially,"中心"
,,especially,"は"
,,especially,"化"
,,especially,"深刻"
,,especially,"非常"
,,especially,"言える"
,,especially,"で"
,,those,"者"
,,those,"に関して"
,,those,"人"
,,those,"にとって"
,,those,"人々"
,,those,"それ"
,,those,"の"
,,those,"給与"
,,those,"職員"
,,those,"階級"
,,those,"その"
,,those,"賃金"
,,those,"人員"
,,those,"給料"
,,those,"が"
,,those,"について"
,,those,"従業"
,,those,"もの"
,,those,"従事"
,,those,"は"
,,those,"働く"
,,those,"員"
,,insistence,"を"
,,insistence,"も"
,,insistence,"示し"
,,insistence,"に"
,,insistence,"する"
,,insistence,"です"
,,insistence,"示唆"
,,insistence,"こと"
,,insistence,"機関"
,,insistence,"し"
,,insistence,"いる"
,,insistence,"ず"
,,insistence,"主張"
,,insistence,"ため"
,,insistence,"せい"
,,insistence,"て"
,,insistence,"方針"
,,insistence,"かかわら"
,,insistence,"政策"
,,other,"だ"
,,other,"た"
,,other,"とある"
,,other,"次々"
,,other,"もう"
,,other,"同士"
,,other,"一方"
,,other,"ほか"
,,other,"反対"
,,other,"の"
,,other,"互い"
,,other,"など"
,,other,"その他"
,,other,"以外"
,,other,"他"
,,other,"向こう"
,,other,"逆"
,,other,"先日"
,,healthcare,"の"
,,healthcare,"医療"
,,healthcare,"における"
,,healthcare,"を"
,,healthcare,"療養"
,,healthcare,"福祉"
,,healthcare,"管理"
,,healthcare,"保険"
,,healthcare,"ヘルスケア"
,,healthcare,"健康"
,,healthcare,"働く"
,,healthcare,"分野"
,,healthcare,"系"
,,healthcare,"介護"
,,healthcare,"で"
,,soaring,"高騰"
,,soaring,"つつ"
,,soaring,"し"
,,soaring,"急騰"
,,soaring,"向上"
,,soaring,"値上がり"
,,soaring,"急激"
,,soaring,"に"
,,soaring,"傾向"
,,soaring,"急上昇"
,,soaring,"舞い"
,,soaring,"て"
,,soaring,"空"
,,soaring,"上昇"
,,soaring,"舞う"
,,largest,"主要"
,,largest,"それら"
,,largest,"最大"
,,largest,"規模"
,,largest,"な"
,,largest,"イギリス"
,,largest,"大手"
,,largest,"大きい"
,,largest,"に"
,,largest,"最も"
,,largest,"大"
,,largest,"企業"
,,largest,"の"
,,largest,"大型"
,,largest,"大きな"
,,largest,"主"
,,largest,"一"
,,largest,"伴い"
,,suppliers,"の"
,,suppliers,"会社"
,,suppliers,"先"
,,suppliers,"電力"
,,suppliers,"店"
,,suppliers,"小売"
,,suppliers,"需要"
,,suppliers,"者"
,,suppliers,"事業"
,,suppliers,"業者"
,,suppliers,"元"
,,suppliers,"電気"
,,suppliers,"供給"
,,suppliers,"は"
,,suppliers,"サプライヤー"
,,five,"の"
,,five,"社"
,,five,"ファイブ"
,,five,"店"
,,five,"つ"
,,five,"five"
,,five,"が"
,,five,"件"
,,five,"は"
,,five,"人"
,,five,"五"
,,five,"で"
,,bills,"の"
,,bills,"料金"
,,bills,"を"
,,bills,"電力"
,,bills,"額"
,,bills,"価格"
,,bills,"請求"
,,bills,"支払い"
,,bills,"が"
,,bills,"電気"
,,bills,"紙幣"
,,bills,"金額"
,,bills,"書"
,,bills,"徴収"
,,bills,"費"
,,over,"を"
,,over,"をめぐって"
,,over,"打ち切り"
,,over,"も"
,,over,"終わら"
,,over,"に"
,,over,"つと"
,,over,"越える"
,,over,"の"
,,over,"に関し"
,,over,"問題"
,,over,"に関する"
,,over,"終わっ"
,,over,"件"
,,over,"向こう"
,,over,"で"
,,over,"超え"
,,over,"より"
,,over,"に関して"
,,over,"引き"
,,over,"に対して"
,,over,"超える"
,,over,"わたり"
,,over,"終了"
,,over,"受け"
,,over,"勝る"
,,over,"に対する"
,,over,"事件"
,,over,"ここ"
,,over,"について"
,,over,"克服"
,,over,"レベル"
,,over,"繰り返し"
,,over,"て"
,,over,"わたっ"
,,over,"めぐり"
,,over,"以上"
,,beijing,"の"
,,beijing,"へ"
,,beijing,"中国"
,,beijing,"ベルリン"
,,beijing,"政府"
,,beijing,"北京"
,,beijing,"五輪"
,,beijing,"に対して"
,,beijing,"スピルバーグ"
,,beijing,"に"
,,beijing,"オリンピック"
,,beijing,"に対し"
,,beijing,"で"
,,rattle,"イラ"
,,rattle,"を"
,,rattle,"揺るがす"
,,rattle,"せる"
,,rattle,"中国"
,,rattle,"さ"
,,rattle,"政府"
,,rattle,"動揺"
,,rattle,"に"
,,rattle,"する"
,,rattle,"唱える"
,,rattle,"いら"
,,rattle,"揺さぶる"
,,rattle,"ゴロゴロ"
,,rattle,"反対"
,,rattle,"の"
,,rattle,"混乱"
,,rattle,"つか"
,,rattle,"生む"
,,rattle,"揺さぶり"
,,rattle,"刺激"
,,rattle,"軋轢"
,,rattle,"意"
,,rattle,"ガラガラ"
,,rattle,"かける"
,,china,"あり"
,,china,"を"
,,china,"た"
,,china,"中華"
,,china,"中国"
,,china,"政府"
,,china,"引き"
,,china,"何故"
,,china,"特に"
,,china,"まし"
,,china,"に"
,,china,"へ"
,,china,"安"
,,china,"の"
,,china,"に対する"
,,china,"し"
,,china,"が"
,,china,"服"
,,china,"考慮"
,,china,"評価"
,,china,"は"
,,china,"蓬"
,,darfur,"スーダン"
,,darfur,"ファール"
,,darfur,"支援"
,,darfur,"ム"
,,darfur,"ハルツ"
,,darfur,"ダルフール"
,,darfur,"イラク"
,,darfur,"ファー"
,,darfur,"ダッフィー"
,,darfur,"ダンフール"
,,darfur,"ダル"
,,darfur,"の"
,,darfur,"事件"
,,darfur,"問題"
,,darfur,"タルフール"
,,darfur,"ダファー"
,,darfur,"ダールフール"
,,darfur,"ル"
,,darfur,"一"
,,darfur,"は"
,,darfur,"ダルフ"
,,darfur,"darfur"
,,darfur,"ダーファー"
,,darfur,"暴動"
,,sudan,"における"
,,sudan,"を"
,,sudan,"スーダン"
,,sudan,"政府"
,,sudan,"一"
,,sudan,"ダン"
,,sudan,"ス"
,,sudan,"で"
,,policy,"の"
,,policy,"ポリシー"
,,policy,"を"
,,policy,"協定"
,,policy,"スーダン"
,,policy,"に"
,,policy,"施行"
,,policy,"方針"
,,policy,"政策"
,,close,"の"
,,close,"近しい"
,,close,"近く"
,,close,"親密"
,,close,"強い"
,,close,"政府"
,,close,"近い"
,,close,"と"
,,close,"な"
,,close,"緊密"
,,close,"良い"
,,close,"密接"
,,close,"固い"
,,close,"閉じ"
,,ties,"つき"
,,ties,"絆"
,,ties,"を"
,,ties,"結び"
,,ties,"な"
,,ties,"結び付き"
,,ties,"関係"
,,ties,"協力"
,,ties,"密接"
,,ties,"結束"
,,ties,"繋がり"
,,having,"を"
,,having,"さ"
,,having,"た"
,,having,"抱える"
,,having,"な"
,,having,"ある"
,,having,"に"
,,having,"関係"
,,having,"持っ"
,,having,"こと"
,,having,"築い"
,,having,"暴露"
,,having,"き"
,,having,"患っ"
,,having,"持つ"
,,having,"し"
,,having,"が"
,,having,"いる"
,,having,"持ち"
,,having,"れ"
,,having,"て"
,,fallout,"影響"
,,fallout,"物"
,,fallout,"を"
,,fallout,"性"
,,fallout,"降下"
,,fallout,"が"
,,fallout,"イメージ"
,,fallout,"動き"
,,fallout,"に"
,,fallout,"印象"
,,fallout,"放射"
,,fallout,"結果"
,,fallout,"意味"
,,fallout,"くる"
,,halt,"食い止めよ"
,,halt,"歯止め"
,,halt,"を"
,,halt,"回復"
,,halt,"しよ"
,,halt,"断ち切る"
,,halt,"する"
,,halt,"広がる"
,,halt,"止めよ"
,,halt,"避けよ"
,,halt,"停止"
,,halt,"マイナス"
,,halt,"イメージ"
,,halt,"払拭"
,,halt,"止まれ"
,,halt,"止める"
,,halt,"う"
,,halt,"かけよ"
,,halt,"かける"
,,halt,"とまれ"
,,halt,"阻止"
,,embarrass,"を"
,,embarrass,"さ"
,,embarrass,"せる"
,,embarrass,"中国"
,,embarrass,"政府"
,,embarrass,"恥"
,,embarrass,"困難"
,,embarrass,"な"
,,embarrass,"辱める"
,,embarrass,"追い込む"
,,embarrass,"に"
,,embarrass,"困惑"
,,embarrass,"困ら"
,,embarrass,"加えよ"
,,embarrass,"メンツ"
,,embarrass,"する"
,,embarrass,"一撃"
,,embarrass,"立場"
,,embarrass,"混乱"
,,embarrass,"かか"
,,embarrass,"侮辱"
,,embarrass,"せ"
,,embarrass,"よう"
,,embarrass,"う"
,,embarrass,"つぶす"
,,extensive,"大きく"
,,extensive,"規模"
,,extensive,"膨大"
,,extensive,"な"
,,extensive,"重要"
,,extensive,"かなり"
,,extensive,"に"
,,extensive,"広"
,,extensive,"豊富"
,,extensive,"多額"
,,extensive,"大量"
,,extensive,"大"
,,extensive,"の"
,,extensive,"多大"
,,extensive,"大幅"
,,extensive,"大きな"
,,extensive,"さらなる"
,,extensive,"多く"
,,extensive,"精密"
,,extensive,"莫大"
,,extensive,"業界"
,,extensive,"巨額"
,,extensive,"で"
,,investments,"会社"
,,investments,"を"
